210 ;  Imperial Beach, City of ;  Imperial Beach ;  91932 ;  1 ;  1 ;  32.5838 ;  32.5838 ;  -117.1122 ;  -117.1122 ;  27000 ;  48117 ;  42 ; 
76 ;  Chula Vista, City of ;  Chula Vista ;  91911 ;  1 ;  1 ;  32.64 ;  32.64 ;  -117.0833 ;  -117.0833 ;  242180 ;  66110 ;  37.96 ; 
448 ;  San Diego County Sanitation District ;  San Diego ;  92123 ;  1 ;  2 ;  32.7152 ;  32.7152 ;  -117.1563 ;  -117.2063 ;  120000 ;  53000 ;  28 ; 
449 ;  San Diego, City of ;  San Diego ;  92123 ;  2 ;  2 ;  32.7152 ;  32.7152 ;  -117.1563 ;  -117.1063 ;  2200000 ;  64309 ;  18.93 ; 
193 ;  Heber Public Utility District ;  Heber ;  92249 ;  1 ;  1 ;  32.7308 ;  32.7308 ;  -115.5297 ;  -115.5297 ;  6600 ;  37156 ;  52.31 ; 
583 ;  Winterhaven Water District ;  Winterhaven ;  92283 ;  1 ;  1 ;  32.7394 ;  32.7394 ;  -114.6347 ;  -114.6347 ;  0 ;  12000 ;  42.88 ; 
247 ;  Lemon Cove Sanitary District ;  Lemon Grove ;  93244 ;  1 ;  2 ;  32.7425 ;  32.7425 ;  -117.0305 ;  -117.0805 ;  150 ;  21250 ;  9 ; 
248 ;  Lemon Grove, City of ;  Lemon Grove ;  91945 ;  2 ;  2 ;  32.7425 ;  32.7425 ;  -117.0305 ;  -116.9805 ;  25320 ;  51932 ;  46.09 ; 
362 ;  Otay Water District ;  Spring Valley ;  91978 ;  1 ;  1 ;  32.7447 ;  32.7447 ;  -116.9980 ;  -116.9980 ;  15200 ;  85663 ;  42.98 ; 
229 ;  La Mesa, City of ;  La Mesa ;  91942 ;  1 ;  1 ;  32.7677 ;  32.7677 ;  -117.0222 ;  -117.0222 ;  59982 ;  54667 ;  40.39 ; 
112 ;  Date Gardens MHP WWTP ;  El Centro ;  92243 ;  1 ;  1 ;  32.7916 ;  32.7916 ;  -115.5622 ;  -115.5622 ;  280 ;  25000 ;  0 ; 
136 ;  El Cajon, City of ;  El Cajon ;  92020 ;  1 ;  1 ;  32.7947 ;  32.7947 ;  -116.9616 ;  -116.9616 ;  100000 ;  45925 ;  11.3 ; 
199 ;  Holtville, City of ;  Holtville ;  92250 ;  1 ;  1 ;  32.8111 ;  32.8111 ;  -115.3802 ;  -115.3802 ;  6404 ;  24974 ;  52.57 ; 
366 ;  Padre Dam Municipal Water District ;  Santee ;  92071 ;  1 ;  1 ;  32.8380 ;  32.8380 ;  -116.9730 ;  -116.9730 ;  68902 ;  72305 ;  55.16 ; 
211 ;  Imperial, City of  ;  Imperial ;  92251 ;  1 ;  1 ;  32.8475 ;  32.8475 ;  -115.5686 ;  -115.5686 ;  18022 ;  80082 ;  48.4 ; 
43 ;  Brawley, City of ;  Brawley ;  92227 ;  1 ;  1 ;  32.9786 ;  32.9786 ;  -115.5291 ;  -115.5291 ;  26566 ;  48400 ;  49.1 ; 
450 ;  San Elijo Joint Powers Authority  ;  Cardiff-by-the-Sea ;  92007 ;  1 ;  1 ;  33.0216 ;  33.0216 ;  -117.2811 ;  -117.2811 ;  38000 ;  87000 ;  0 ; 
144 ;  Encinitas, City of - Cardiff Sanitary Division ;  Encinitas ;  92024 ;  1 ;  2 ;  33.0366 ;  33.0366 ;  -117.2911 ;  -117.3411 ;  20000 ;  84894 ;  53.97 ; 
145 ;  Encinitas, City of - Encinitas Sanitary Division ;  Encinitas ;  92024 ;  2 ;  2 ;  33.0366 ;  33.0366 ;  -117.2911 ;  -117.2411 ;  17000 ;  84894 ;  45.53 ; 
577 ;  Westmorland, City of ;  Westmorland ;  92281 ;  1 ;  1 ;  33.0372 ;  33.0372 ;  -115.6213 ;  -115.6213 ;  2400 ;  0 ;  31.85 ; 
399 ;  Ramona Municipal Water District ;  Ramona ;  92065 ;  1 ;  1 ;  33.0416 ;  33.0416 ;  -116.8672 ;  -116.8672 ;  10500 ;  62900 ;  63.28 ; 
146 ;  Escondido, City of ;  Escondido ;  92029 ;  1 ;  1 ;  33.1191 ;  33.1191 ;  -117.0855 ;  -117.0855 ;  147294 ;  53284 ;  50 ; 
555 ;  Vallecitos Water District ;  San Marcos ;  92069 ;  1 ;  1 ;  33.1430 ;  33.1430 ;  -117.1652 ;  -117.1652 ;  92000 ;  67500 ;  38.99 ; 
